trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20210531,SZSE,741634495694,46992647705,42787592244,59450039031,68508951,801084534725,3089141345
20210531,SSE,827953586295,48051805038,41995293696,97530642986,170500778,925484229281,7591873010
20210528,SZSE,737460262427,47278650701,47973579000,58916943340,66406732,796377205767,3087787333
20210528,SSE,821972013714,46937250469,45663434758,96720679933,284333949,918692693647,7612680532
20210527,SZSE,735786584327,41706719143,39158116976,58980427627,75312762,794767011954,3096926015
20210527,SSE,820729295439,43663317475,39365546739,96271117458,161339499,917000412897,7493772587
20210526,SZSE,733259833905,43486022858,40247355820,59105865342,82575562,792365699247,3111485726
20210526,SSE,816490842964,47285027257,45005665637,95582848083,197355526,912073691047,7539786184
20210525,SZSE,730019062495,43834038604,45330824659,59505264469,65920581,789524326964,3138615368
20210525,SSE,814261003267,47786319801,47163246242,95616627044,237353754,909877630311,7535457991
20210524,SZSE,731228841985,37989842771,35248731233,58417643598,70381390,789646485583,3176956084
20210524,SSE,813674545450,35978153268,32952903179,93387489939,169827163,907062035389,7567755725
20210521,SZSE,728479390204,35874227082,35715266269,58232559569,58953971,786711949773,3203730625
20210521,SSE,810670237086,33088299956,33861930263,93520442395,154286777,904190679481,7583192534
20210520,SZSE,728341934394,37384597334,37230382776,59196705301,60772827,787538639695,3224911196
20210520,SSE,811462296683,38063059561,37050201684,94363899469,166174901,905826196152,7613394978
20210519,SZSE,728197985841,40322619547,36264338199,59163769794,61776221,787361755635,3233321620
20210519,SSE,810481964331,37542704957,35622885158,94558242212,164487412,905040206543,7634436517
20210518,SZSE,724169780109,36995368667,33047930639,59556146404,86695092,783725926513,3266814945
20210518,SSE,808587241994,35682191958,34126348731,95448344728,163407543,904035586722,7681525209
20210517,SZSE,720256213362,41288023577,38869956741,59606365630,87173829,779862578992,3265669811
20210517,SSE,807065819160,42543040132,40243935334,95485002123,178717801,902550821283,7697814427
20210514,SZSE,717867782709,40244528326,39174246027,58835517971,110938881,776703300680,3272464828
20210514,SSE,804800999074,42976802579,43360961797,94271785076,220891175,899072784150,7732531587
20210513,SZSE,716861778833,33324912659,32458007272,57198321421,88979618,774060100254,3249666531
20210513,SSE,805229017067,34527892725,33524374626,92218075762,155937025,897447092829,7725117727
20210512,SZSE,716047859666,32479136125,30686869795,58239605411,85032909,774287465077,3253767419
20210512,SSE,804277321885,33079658103,31228975643,93106397068,167178486,897383718953,7770063018
20210511,SZSE,714239915401,34480584868,33698600648,58301364828,80795083,772541280229,3274653747
20210511,SSE,802469810548,38332066610,37352558656,92247555457,174521350,894717366005,7833575501
20210510,SZSE,713418825039,35168804423,33386870626,57881543831,63592640,771300368870,3280594754
20210510,SSE,801540647009,39763830509,36159739670,91450051268,185761984,892990698277,7833859145
20210507,SZSE,711680188097,37104911198,38845289375,57775479939,86639015,769455668036,3274288208
20210507,SSE,797991832859,40747653569,40412324754,91027465952,194558469,889019298811,7797933316
20210506,SZSE,713422184182,39133296689,34862228145,58500567756,67829341,771922751938,3248937641
20210506,SSE,797716392311,39783452654,35365845277,91434870430,135785794,889151262741,7766528206
